Mes,Total,Impuesto ingresos brutos,Convenio multilateral,Impuesto de sellos,Impuesto inmobiliario,Otros ingresos
2017-01-01 00:00:00,"519,283,888","71,123,083","158,601,571","21,718,644","22,115","267,818,476"
2017-02-01 00:00:00,"467,864,648","57,416,525","144,090,087","17,667,071","223,034","248,467,932"
2017-03-01 00:00:00,"482,706,552","69,333,643","145,077,379","17,222,376","149,048","250,924,106"
2017-04-01 00:00:00,"596,500,020","63,108,045","235,841,071","20,348,071","25,087","277,177,746"
2017-05-01 00:00:00,"584,560,675","67,983,284","194,554,548","23,899,008","9,975","298,113,860"
2017-06-01 00:00:00,"489,144,849","63,009,634","171,816,388","19,613,102","108,620","234,597,106"
2017-07-01 00:00:00,"538,634,167","63,689,949","194,434,685","22,630,606","59,095","257,819,832"
2017-08-01 00:00:00,"577,771,182","70,387,541","211,244,393","22,022,743","163,149","273,953,356"
2017-09-01 00:00:00,"906,097,655","69,479,020","220,094,565","23,063,389","1,357","593,459,323"
2017-10-01 00:00:00,"591,271,761","73,739,587","221,526,371","28,954,959","1,187,217","265,863,628"
2017-11-01 00:00:00,"589,611,072","81,082,650","206,923,452","26,028,992","2,268,259","273,307,719"
2017-12-01 00:00:00,"797,701,551","95,778,794","213,132,797","29,025,594","238,941","459,525,426"
2018-01-01 00:00:00,"683,959,149","86,426,987","243,324,870","26,241,102","439,617","327,526,572"
2018-02-01 00:00:00,"681,610,750","76,483,900","242,199,662","21,391,238","17,313","341,518,637"
2018-03-01 00:00:00,"689,632,248","78,643,872","243,746,984","24,955,562","19,633","342,266,196"
2018-04-01 00:00:00,"736,478,054","91,677,777","263,555,796","25,951,885","26,012","355,266,584"
2018-05-01 00:00:00,"825,691,667","91,069,096","294,029,380","33,173,481","24,666","407,395,043"
2018-06-01 00:00:00,"883,355,100","74,390,443","290,267,820","24,814,447","101,989","493,780,401"
2018-07-01 00:00:00,"900,955,764","98,295,463","251,634,249","25,548,310","24,153","525,453,589"
2018-08-01 00:00:00,"874,625,021","96,271,998","233,076,271","27,494,974","60,991","517,720,788"
2018-09-01 00:00:00,"992,193,481","94,762,046","285,347,328","25,797,728","2,863","586,283,516"
2018-10-01 00:00:00,"975,928,622","95,882,787","268,214,412","28,331,905","58,985","583,440,534"
2018-11-01 00:00:00,"967,082,387","93,003,852","260,428,257","28,364,291","2,106,738","583,179,250"
2018-12-01 00:00:00,"903,748,434","105,140,969","273,080,143","31,041,224","577,152","493,908,946"
2019-01-01 00:00:00,"934,477,862","108,193,729","257,587,772","27,601,087","53,387","541,041,886"
2019-02-01 00:00:00,"846,207,695","92,787,850","262,530,046","28,165,654","36,767","462,687,377"
2019-03-01 00:00:00,"863,614,129","86,031,437","245,827,563","27,027,860","35,255","504,692,013"
2019-04-01 00:00:00,"986,138,252","98,013,494","277,864,146","30,914,418","39,242","579,306,951"
2019-05-01 00:00:00,"1,223,114,877","121,928,720","357,885,744","36,116,437","162,184","707,021,792"
2019-06-01 00:00:00,"1,082,028,726","110,056,339","324,319,272","30,008,825","8,018","617,636,272"
2019-07-01 00:00:00,"1,123,551,356","112,979,146","340,727,699","32,635,168","43,355","637,165,988"
2019-08-01 00:00:00,"1,182,397,590","118,982,830","305,678,659","28,598,065","8,375","729,129,661"
2019-09-01 00:00:00,"1,229,441,368","118,596,021","323,151,248","40,578,774","2,844","747,112,482"
2019-10-01 00:00:00,"1,247,506,268","120,348,655","330,685,833","32,348,849",0,"764,122,931"
2019-11-01 00:00:00,"1,173,180,439","127,709,641","319,816,278","35,330,848","1,556,942","688,766,731"
2019-12-01 00:00:00,"1,076,727,077","123,520,171","286,968,938","39,123,648","266,810","626,847,510"
